,0
0,CCCCO[C]1=N[C](N)C2=C(N=1)N(CC(=O)N2)Cc1ccccc1
1,CCCCNC(=O)C1=C([N]c2ccc(cc2)OC)OC2=CC(=C[CH]C2=C1)O
2,O=C(CCC(=O)N1CCOc2c1cccc2)NCCc1ccccc1
3,CC[C@H](NC(=O)C1CCN(CC1)C(=O)c1ccccc1)C
4,CS(=O)(=O)N1CCC2(CC1)CCCN(C2)c1ncccn1
5,N#C[C@H](C(=O)C(=O)Nc1ccccc1OC)CC(C=O)(C)C
6,Cc1ccc(cc1)S(=O)(=O)/N=C\1/C=C(SC2=N[CH]N[N]2)C(=O)c2c1cccc2
7,O=C(c1sc(nc1C)Nc1ccc(cc1)S(=O)(=O)N)Nc1ccccc1
8,O/N=C(/c1cccnc1Oc1cc(Cl)ccc1Cl)\N1CC[C@H]2[C@H](C1)CCCC2
9,C[C@@H]1CCCN(C1)CCCNC(=O)CN1C(=O)COc2c1cccc2
10,S=C(Nc1ccc(cc1)C)NCc1cn(c2c1cccc2)C(=O)OC(C)(C)C
11,Clc1c(OCCCn2cncc2)ccc2c1cccc2
12,O=C(c1ccccc1Br)NCCNc1ccc(cc1)N(=O)=O
13,Oc1ccccc1CN[C]1N=C[N]c2c1[nH]nc2C(C)C
14,O=C(C1CCN(CC1)S(=O)(=O)c1ccc2c(c1)ccc(=O)[nH]2)Nc1cccc(c1)C(=O)C
15,COc1ccc(cc1)N1C(=O)CC[C@H]([C@H]1c1ccc(cc1)F)C(=O)N1CCCCC1
16,OC(=O)CC[C@H](C(=O)N)NC(=O)[C@@H](NC(=O)CCCCN1C(=O)c2c(S1(=O)=O)cccc2)C
17,O=C(c1ccncc1)NN1C(=O)[C@@H]([C@@H]1c1ccccc1)Cl
18,CC1=NN(C(=O)[C@H]1[N][N]c1ccccc1N(=O)=O)C(=S)N
19,COc1cc2c(cc1OCCCN1CCOCC1)ncc(c2N[C@@H]1C[C@H]1c1ccccc1)C#N
20,OCC1CCN(CC1)c1nccc(c1)c1ccc(c(c1)C(F)(F)F)Sc1ccccc1C(C)C
21,CC/N=C(/NNC(=O)c1ccccc1Cl)\S
22,O[C@@H](CN1CCN(CC1)C(=O)c1ccccc1)COc1ccccc1C(=O)CCc1ccc(cc1)F
23,O=C([C@H](NC(=O)C(N)(C)C)CCCc1ccccc1)N1CC[C@]2(CC1)C[C@@H](c1c2cccc1)O
